row_type,model,dataset,plane,n_qubits,eval_split,trial,seed,epoch,train_loss,train_acc,test_loss,test_acc,test_macro_f1,test_balanced_acc,precision,recall,f1,macro_f1,balanced_acc,sensitivity,specificity,auc,tn,fp,fn,tp,lr,convergence_status,failure_count,success_count,failure_rate,failure_macro_f1_threshold,failure_balanced_acc_threshold
epoch,classical,oasis-2,coronal,2,original,1,42,1,0.7033249735832214,0.5,0.6918136328458786,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001,,,,,0.4,0.55
epoch,classical,oasis-2,coronal,2,original,1,42,2,0.6596665047109127,0.6328125,0.630779966711998,0.75,0.7333333333333334,0.75,,,,,,,,,,,,,0.001,,,,,0.4,0.55
epoch,classical,oasis-2,coronal,2,original,1,42,3,0.5935132186859846,0.703125,0.5670991092920303,0.734375,0.7142106645652745,0.734375,,,,,,,,,,,,,0.001,,,,,0.4,0.55
epoch,classical,oasis-2,coronal,2,original,1,42,4,0.4859881829470396,0.8359375,0.4295852296054363,0.859375,0.8593406593406594,0.859375,,,,,,,,,,,,,0.001,,,,,0.4,0.55
epoch,classical,oasis-2,coronal,2,original,1,42,5,0.3525276239961386,0.8828125,0.35159545112401247,0.875,0.8738916256157635,0.875,,,,,,,,,,,,,0.001,,,,,0.4,0.55
epoch,classical,oasis-2,coronal,2,original,1,42,6,0.3216963689774275,0.859375,0.26704116351902485,0.90625,0.90625,0.90625,,,,,,,,,,,,,0.001,,,,,0.4,0.55
epoch,classical,oasis-2,coronal,2,original,1,42,7,0.20224091783165932,0.9453125,0.22307287622243166,0.9375,0.9372549019607843,0.9375,,,,,,,,,,,,,0.001,,,,,0.4,0.55
epoch,classical,oasis-2,coronal,2,original,1,42,8,0.14446045830845833,0.953125,0.16603551991283894,0.921875,0.9218559218559219,0.921875,,,,,,,,,,,,,0.001,,,,,0.4,0.55
epoch,classical,oasis-2,coronal,2,original,1,42,9,0.10144494532141834,0.984375,0.1404300592839718,0.9375,0.9375,0.9375,,,,,,,,,,,,,0.001,,,,,0.4,0.55
epoch,classical,oasis-2,coronal,2,original,1,42,10,0.09586869459599257,0.9765625,0.12100629368796945,0.96875,0.9687194525904204,0.96875,,,,,,,,,,,,,0.001,,,,,0.4,0.55
final,classical,oasis-2,coronal,2,original,1,42,10,0.09586869459599257,0.9765625,0.12100629368796945,0.96875,0.9687194525904204,0.96875,0.9411764705882353,1.0,0.9696969696969697,0.9687194525904204,0.96875,1.0,0.9375,0.9970703125,30,2,0,32,0.001,converged,,,,0.4,0.55
final,classical,oasis-2,coronal,2,balanced,1,42,10,0.09586869459599257,0.9765625,0.12100629368796945,0.96875,0.9687194525904204,0.96875,0.9411764705882353,1.0,0.9696969696969697,0.9687194525904204,0.96875,1.0,0.9375,0.9970703125,30,2,0,32,0.001,converged,,,,0.4,0.55
epoch,classical,oasis-2,coronal,2,original,2,43,1,0.712762925773859,0.5,0.7013966664671898,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001,,,,,0.4,0.55
epoch,classical,oasis-2,coronal,2,original,2,43,2,0.6993077956140041,0.5234375,0.692303940653801,0.546875,0.5330817610062892,0.546875,,,,,,,,,,,,,0.001,,,,,0.4,0.55
epoch,classical,oasis-2,coronal,2,original,2,43,3,0.6774142496287823,0.578125,0.6867751181125641,0.546875,0.49220246238030096,0.546875,,,,,,,,,,,,,0.001,,,,,0.4,0.55
epoch,classical,oasis-2,coronal,2,original,2,43,4,0.6944700181484222,0.5390625,0.6800545677542686,0.53125,0.3992490613266583,0.53125,,,,,,,,,,,,,0.001,,,,,0.4,0.55
epoch,classical,oasis-2,coronal,2,original,2,43,5,0.6846829988062382,0.5,0.691114254295826,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,0.001,,,,,0.4,0.55
epoch,classical,oasis-2,coronal,2,original,2,43,6,0.677384365350008,0.59375,0.6661987900733948,0.6875,0.6796796796796797,0.6875,,,,,,,,,,,,,0.001,,,,,0.4,0.55
